Date,Daily,Month
2021-04-26," $125,789.89 ",April
2021-04-27," $99,374.01 ",April
2021-04-28," $82,203.16 ",April
2021-04-29," $33,530.26 ",April
2021-04-30," $30,105.24 ",April
2021-08-01, $44.92 ,August
2021-08-02, $41.23 ,August
2021-08-03, $53.78 ,August
2021-08-04, $39.33 ,August
2021-08-05, $20.24 ,August
2021-08-06, $20.54 ,August
2021-08-07, $14.59 ,August
2021-08-08, $11.46 ,August
2021-08-09, $12.18 ,August
2021-08-10, $17.24 ,August
2021-08-11, $11.74 ,August
2021-08-12, $4.80 ,August
2021-08-13, $4.68 ,August
2021-08-14, $2.63 ,August
2021-08-15, $1.92 ,August
2021-08-16, $2.15 ,August
2021-08-17, $2.69 ,August
2021-08-18, $1.34 ,August
2021-08-19, $0.39 ,August
2021-08-20, $0.19 ,August
2021-08-21, $0.06 ,August
2021-08-22, $0.07 ,August
2021-08-23, $0.06 ,August
2021-08-24, $0.04 ,August
2021-08-25, $0.02 ,August
2021-08-26, $0.01 ,August
2021-08-27, $0.00 ,August
2021-08-28, $0.00 ,August
2021-08-29, $0.00 ,August
2021-08-30, $0.00 ,August
2021-08-31, $0.00 ,August
2021-07-01, $578.32 ,July
2021-07-02, $386.08 ,July
2021-07-03, $409.16 ,July
2021-07-04, $512.57 ,July
2021-07-05, $693.22 ,July
2021-07-06, $777.98 ,July
2021-07-07, $525.73 ,July
2021-07-08, $239.25 ,July
2021-07-09, $316.44 ,July
2021-07-10, $234.88 ,July
2021-07-11, $214.09 ,July
2021-07-12, $358.82 ,July
2021-07-13, $495.82 ,July
2021-07-14, $386.69 ,July
2021-07-15, $191.04 ,July
2021-07-16, $249.41 ,July
2021-07-17, $197.38 ,July
2021-07-18, $153.44 ,July
2021-07-19, $249.68 ,July
2021-07-20, $318.39 ,July
2021-07-21, $238.63 ,July
2021-07-22, $132.52 ,July
2021-07-23, $155.97 ,July
2021-07-24, $132.47 ,July
2021-07-25, $125.49 ,July
2021-07-26, $139.87 ,July
2021-07-27, $192.14 ,July
2021-07-28, $111.00 ,July
2021-07-29, $57.23 ,July
2021-07-30, $66.29 ,July
2021-07-31, $48.06 ,July
2021-06-01," $2,955.72 ",June
2021-06-02," $2,249.78 ",June
2021-06-03, $753.48 ,June
2021-06-04," $1,044.94 ",June
2021-06-05, $771.17 ,June
2021-06-06, $733.69 ,June
2021-06-07," $1,061.32 ",June
2021-06-08," $1,718.47 ",June
2021-06-09," $1,328.70 ",June
2021-06-10, $497.96 ,June
2021-06-11, $655.73 ,June
2021-06-12, $492.32 ,June
2021-06-13, $444.19 ,June
2021-06-14, $670.71 ,June
2021-06-15," $1,109.08 ",June
2021-06-16," $1,199.77 ",June
2021-06-17, $368.78 ,June
2021-06-18, $467.51 ,June
2021-06-19, $353.04 ,June
2021-06-20, $288.62 ,June
2021-06-21, $398.94 ,June
2021-06-22, $608.86 ,June
2021-06-23, $467.49 ,June
2021-06-24, $196.29 ,June
2021-06-25, $247.21 ,June
2021-06-26, $184.68 ,June
2021-06-27, $204.38 ,June
2021-06-28," $1,275.06 ",June
2021-06-29," $1,537.63 ",June
2021-06-30," $1,289.73 ",June
2021-05-01," $22,955.06 ",May
2021-05-02," $19,579.02 ",May
2021-05-03," $37,018.43 ",May
2021-05-04," $55,900.40 ",May
2021-05-05," $40,984.73 ",May
2021-05-06," $9,724.08 ",May
2021-05-07," $11,365.60 ",May
2021-05-08," $7,646.02 ",May
2021-05-09," $6,808.62 ",May
2021-05-10," $14,673.11 ",May
2021-05-11," $24,949.01 ",May
2021-05-12," $17,715.13 ",May
2021-05-13," $4,253.08 ",May
2021-05-14," $5,192.90 ",May
2021-05-15," $3,418.58 ",May
2021-05-16," $3,079.61 ",May
2021-05-17," $6,729.05 ",May
2021-05-18," $11,610.27 ",May
2021-05-19," $8,627.63 ",May
2021-05-20," $2,838.02 ",May
2021-05-21," $2,601.62 ",May
2021-05-22," $1,783.67 ",May
2021-05-23," $1,700.49 ",May
2021-05-24," $3,812.59 ",May
2021-05-25," $5,737.14 ",May
2021-05-26," $5,744.27 ",May
2021-05-27," $4,312.33 ",May
2021-05-28," $1,652.02 ",May
2021-05-29," $1,137.74 ",May
2021-05-30," $1,000.02 ",May
2021-05-31," $1,819.52 ",May
